nodes	trait1
internal_node_38169	28.7877|30.0033
n35914	29.619|30.8239
n35915	29.7082|30.9176
n35916	29.7555|31.0705
n35917	31.3697|32.946
n35918	28.2796|29.4868
n35920	27.0471|28.5334
n35946	27.1816|28.297
n35947	26.0826|27.4532
n35956	28.2459|29.5244
n35966	30.6445|31.3928
n35989	29.415|30.7668
n35990	31.508|33.4069
68933+188786	57.6753|58.8878
n36002	63.2173|64.6447
n36003	62.9197|64.1059
n36004	65.8661|67.2955
internal_node_38360	62.2003|63.4148
n36006	58.2074|59.2345
n36007	63.663|64.538
n36009	69.2556|70.0133
n36010	68.8009|69.7678
n36012	71.0477|72.3247
internal_node_38414	59.8097|60.1903
n36031	49.7162|51.0246
n36032	49.9254|51.2075
internal_node_38428	50.4097|51.338
n36034	52.057|53.1168
n36039	47.0129|48.0382
n36043	41.6995|43.7022
n36044	46.3497|48.1421
n36045	40.0039|41.2944
n36046	37.8159|39.4644
n36047	26.026|28.1331
1937962	25.5672|27.0892
n36050	24.1974|25.417
117747+200666	24.7415|26.0577
n36052	24.6077|25.8796
n36053	26.7604|27.9953
n36056	22.3522|23.5988
n36057	26.5661|27.9317
n36058	22.7094|23.6959
n36060	22.7817|23.8769
n36061	20.7398|22.1802
n36062	23.6712|24.582
n36064	21.3386|22.3914
n36065	22.3065|23.4595
n36066	22.7594|24.3893
internal_node_38481	22.0836|23.4187
n36069	19.7414|21.1784
n36073	28.3099|29.9284
n36172	29.2868|30.7132
n36240	25.3325|26.3928
n36242	20.528|21.5875
n36298	21.3568|22.5184
internal_node_39038	14.5898|16.1079
n36400	25.6231|27.025
n36508	19.6027|20.8383
n36509	24.5925|25.7835
internal_node_39557	22.8354|23.9526
n36515	16.9381|17.9161
n36516	13.5269|14.565
n36572	25.3239|26.7615
internal_node_39724	25.7588|26.9258
n36575	25.1902|26.3256
n36576	24.9829|26.5112
n36582	24.6072|25.3928
n36613	25.7249|26.6204
n36617	24.9972|26.5414
n36623	22.8385|23.7476
n36642	27.5174|28.4826
n36706	28.5987|29.9942
internal_node_40030	36.1537|37.3422
n36712	35.9529|37.0874
n36716	35.328|36.3658
n36719	36.6657|37.3343
n36720	36.674|37.326
n36723	24.8098|26.0903
n36724	24.9661|26.3868
internal_node_40134	22.5492|23.6235
n36742	15.767|16.8038
n36743	20.0468|21.0651
n36745	19.6822|20.8006
n36748	19.924|21.0118
n36749	17.6751|18.7613
n36753	21.4609|22.4216
n36755	23.3097|24.0121
n36756	22.4888|23.457
n36807	23.3355|24.3842
n36839	24.4392|25.5608
n36930	20.3362|21.3676
n36931	20.4895|21.6319
n36958	16.4593|17.4303
n36977	8.6245|9.3365
n36978	15.9219|16.5101
n36979	25.738|26.2503
n36981	19.5063|21.252
n36997	8.7107|10.1976
n37024	33.0408|34.1264
n37039	31.4673|32.8838
n37040	32.4692|33.9436
n37041	31.0399|32.1302
n37045	30.2277|31.3232
n37047	27.3733|28.4428
n37048	26.0895|27.2648
n37081	25.727|26.7394
n37092	24.716|25.5637
n37186	34.5349|35.7752
internal_node_41030	36.4821|37.5179
n37207	31.5632|32.1054
n37228	19.5359|21.0703
n37229	23.5537|25.172
n37232	18.9925|20.4622
n37233	22.3375|23.8235
171550	32.8237|34.1801
171551	30.7473|32.2681
n37255	34.6238|35.9232
n37256	34.9271|35.7948
n37257	33.322|34.6869
n37259	34.9769|36.2973
n37261	36.2122|37.1508
n37263	35.8029|36.6781
n37264	35.4703|36.3501
n37265	36.3673|37.3755
n37266	36.3041|37.2368
n37267	36.0388|37.0613
internal_node_41265	35.2964|36.4669
n37270	35.8359|37.3902
n37271	35.5646|37.1853
n37272	35.361|37.033
171552	35.352|36.5471
n37274	34.4901|35.9256
internal_node_41273	34.0135|35.3206
n37277	35.827|36.8601
n37278	35.6532|36.5725
n37279	35.1337|36.2875
n37280	34.9875|35.9667
n37282	34.9533|36.1207
internal_node_41285	35.1768|36.776
n37285	34.6449|36.1667
n37286	36.2158|37.7842
n37287	36.9241|37.0759
n37294	34.6916|35.8206
n37296	34.8552|36.0164
n37297	34.0842|35.3267
n37298	31.9685|33.273
n37302	35.8896|36.8883
n37303	36.5651|37.4349
n37304	36.5765|37.4235
n37306	36.6791|37.3209
n37307	36.6517|37.3483
n37309	34.7474|35.8632
n37310	33.9786|34.7818
n37312	35.882|37.0462
n37313	35.4054|36.506
n37314	34.8982|35.9063
n37315	36.594|37.406
n37316	36.653|37.347
n37317	36.4035|37.5965
n37320	36.4865|37.5135
n37321	35.9811|37.285
n37323	35.7454|37.095
n37324	35.6723|36.8629
n37325	36.3193|37.6807
n37326	36.3636|37.6364
n37331	34.137|35.1042
internal_node_41413	34.9933|36.6933
internal_node_41421	36.4199|37.5801
n37344	34.7129|35.9195
n37345	32.2887|33.6731
n37348	36.5273|37.4727
n37349	36.4563|37.5437
n37351	36.3295|37.6705
n37357	36.2976|37.7024
n37359	36.5749|37.4251
n37362	36.5498|37.4502
n37363	36.5324|37.4676
n37364	36.5845|37.4155
n37366	36.6078|37.3922
n37367	36.6838|37.3162
n37368	36.6145|37.3855
n37369	35.2901|35.9806
n37370	35.4761|36.4916
n37371	36.2663|37.7337
n37372	35.4104|36.1861
n37373	35.1697|35.7284
n37375	34.6749|35.7224
n37377	35.4767|36.249
n37384	36.3925|37.6075
n37386	36.5437|37.4563
n37387	32.5821|33.8099
n37388	32.9909|34.1585
2005520	34.8044|36.2011
n37391	36.5537|37.4463
n37392	36.4381|37.5619
2005525	36.4191|37.5809
n37406	36.3302|37.6698
n37408	36.373|37.627
n37409	36.3455|37.6545
n37410	36.2295|37.7705
n37411	36.2769|37.7231
n37412	36.1301|37.8699
n37415	36.7735|37.2265
n37419	36.5088|37.4912
n37423	36.6558|37.3442
n37427	36.4544|37.5456
n37428	36.3085|37.6915
n37431	36.6926|37.3074
n37436	36.4726|37.5274
n37448	34.3228|35.2324
n37459	26.6337|28.1898
internal_node_41726	35.2808|36.6287
n37462	34.2396|35.9859
n37469	24.0902|25.5293
n37476	33.2079|34.531
n37524	36.2693|37.7307
internal_node_41923	36.37|37.63
n37529	36.681|37.319
n37531	36.6197|37.3803
n37532	36.5772|37.4228
n37536	36.4965|37.5035
n37539	20.8153|22.3466
n37541	19.1327|20.2309
n37542	25.2531|26.8032
n37545	24.0544|25.9456
n37636	26.4371|27.839
n37715	14.8724|16.5753
n37803	12.7734|14.0576
n37804	27.0631|28.9369
n37824	24.8426|26.6795
n37827	24.5256|25.8744
n37829	25.4425|26.8317
n37830	23.9176|25.3395
internal_node_42573	25.4372|26.9252
n37834	24.4378|25.966
n37837	22.2482|23.5575
n37933	29.6608|30.8991
1937959+1936988	25.2537|26.9658
n38008	24.7579|26.3194
n38010	24.2096|25.7904
89373	23.6384|25.0872
1937968+200667+2762286	25.1975|26.5913
n38031	23.8519|25.2745
2762276	24.2293|25.3751
n38033	27.5936|29.1439
n38035	26.2642|27.7654
2896860	24.4731|26.0758
n38039	24.1043|25.6009
n38040	22.2002|23.6692
n38042	25.9444|27.3459
n38044	24.5517|26.1314
n38049	22.782|24.0418
n38050	19.3734|20.6266
n38066	19.5893|20.4107
n38091	27.0458|28.9542
n38106	19.7924|21.4187
n38112	14.4062|15.8392
n38131	27.5068|28.4932
n38147	28.506|30.1364
n38181	27.4817|29.2925
n38183	26.2378|27.8839
internal_node_43459	23.3139|23.8838
n38194	20.7116|22.1389
n38195	13.5172|15.2989
n38230	22.9488|24.7459
n38231	25.5907|26.6836
n38232	24.3265|25.4635
n38233	24.511|25.6885
n38234	21.6541|23.2903
n38243	12.9851|13.9039
n38250	29.2132|30.2338
n38254	26.2781|27.3415
n38265	23.8641|25.1659
n38274	27.7084|29.4228
n38339	28.0912|29.9302
n38341	27.3547|29.3397
n38359	18.8179|20.5745
n38363	21.1835|22.5622
n38364	27.6729|28.9195
n38386	31.8154|33.1846
n38479	16.8552|17.7819
n38530	27.1606|28.8394
1853220+1853222+1853224+563843	52.2605|54.1233
n38552	36.1613|37.8387
n38565	41.8278|43.7525
191412	34.0982|35.1726
internal_node_44422	36.8016|37.8347
internal_node_44426	25.2228|25.9282
internal_node_44429	25.8549|26.6805
n38572	27.0846|28.1511
1134404+795747+795748	45.418|46.9292
n38589	69.7933|71.2574
n38590	68.8389|70.0331
n38591	69.0032|70.3387
n38592	68.7706|70.1492
internal_node_44502	67.0438|67.9536
n38595	67.0565|68.0017
n38596	68.188|69.5499
n38597	69.7324|70.1961
n38603	64.8469|65.1364
n38604	64.3739|64.7181
n38606	67.1438|67.7675
n38608	69.652|70.348
n38616	68.0731|69.839
n38630	71.8132|73.9271
n38632	68.9117|69.7304
n38634	67.6953|68.2673
n38635	72.2058|72.9815
n38636	74.2255|75.3209
n38638	74.4868|74.845
n38639	70.7589|71.4838
internal_node_44634	76.6665|77.1531
n38641	33.7616|35.6161
203691+203692	32.7065|34.1808
1643687	35.498|37.4884
137	35.6631|36.909
internal_node_44645	38.7926|40.0288
n38648	34.0216|35.4478
n38649	30.6015|32.7408
internal_node_44651	34.0889|34.904
n38653	33.3564|33.6874
n38654	32.8436|33.3133
n38656	32.7053|33.0727
n38661	32.4202|32.6932
n38679	36.1442|37.8558
n38689	43.1731|44.8415
n38690	30.7056|32.588
n38701	32.2931|32.7069
internal_node_44783	28.3085|29.4972
n38704	31.54|32.7496
n38705	35.7182|37.0492
n38709	34.6881|36.1124
n38710	33.6133|35.3621
n38715	36.0733|37.9267
n38719	36.2032|37.7968
n38721	29.3902|30.6098
n38723	29.3751|30.6249
2951104	25.2974|26.729
n38737	36.7498|37.2502
n38738	36.8823|37.1177
n38740	36.8477|37.1523
n38741	36.8524|37.1476
1643688+170	28.9388|31.0612
n38744	29.0883|30.9117
n38768	29.5652|30.4348
n38813	57.0249|58.4648
n38814	61.1567|63.1538
200918+188708	62.3826|64.1637
n38816	63.8589|65.0526
2419	70.7284|72.1068
1643950	70.2686|72.3684
internal_node_45068	71.2541|72.4886
internal_node_45087	70.8881|72.1103
internal_node_45090	66.3515|67.3054
n38835	61.708|62.7259
n38836	64.9415|65.0585
n38838	69.5344|70.4656
n38840	79.1302|79.5605
n38841	77.0066|77.2791
n38842	56.4488|58.0983
1643947+1643949	60.5823|62.6889
1643946+1643948	54.027|55.4685
internal_node_45159	59.676|60.9143
internal_node_45180	58.5684|59.6641
n38867	51.2476|53.515
508458+649775+649776	47.2288|48.7303
n38869	44.378|45.5554
n38870	37.2918|38.8352
3029088	38.2467|39.8991
n38877	36.107|37.893
n38885	49.6805|51.1597
649777	44.2751|45.9998
n38889	47.7745|49.2386
internal_node_45240	57.969|59.0365
200783+187857+32069	67.9401|69.383
n38898	66.3669|68.2056
n38899	60.7279|62.7854
internal_node_45286	49.1488|50.4992
n38905	12.9276|14.521
224027	70.2533|71.6801
n38915	66.5732|67.2686
n38921	71.7005|72.8356
28890	77.8233|79.4332
n38929	70.1872|71.6839
n38930	67.0061|68.1991
n38931	56.9841|58.5654
n38932	37.5261|39.4527
183963+2235+1963268+2236	37.5566|38.9842
n38934	38.2089|39.1838
n38935	35.3439|36.5267
n38936	34.9744|35.9714
2976354	34.6375|35.7708
internal_node_45393	35.4053|36.2018
internal_node_45396	34.7659|35.5645
n38943	33.6471|34.4674
n38944	33.712|34.9469
n38945	33.4529|34.2489
n38946	35.0417|35.7564
n38948	34.5972|35.2242
n38949	41.9823|42.6867
n38953	31.1713|31.6556
n38954	28.9584|29.2504
n38955	37.132|37.4672
internal_node_45427	36.6562|37.3438
internal_node_45472	33.1289|34.1454
internal_node_45475	41.7685|42.8139
n38980	46.7479|47.2061
n38981	47.6546|48.0219
n38985	35.194|35.6046
n38993	36.4256|37.5744
n39003	36.0961|37.2894
n39004	31.9664|33.1057
n39006	38.4647|39.2294
n39007	25.0195|25.3398
n39032	34.1269|35.5008
1963270	36.3615|37.6385
internal_node_45626	36.5258|37.4742
n39036	36.4608|37.5392
n39038	36.7752|37.2248
internal_node_45671	31.441|32.2435
n39073	35.3141|36.4002
n39074	37.2473|38.9093
n39084	39.3594|39.818
n39085	45.218|46.2696
n39089	39.4127|40.1015
n39102	33.8446|34.446
n39103	36.6726|37.3274
n39140	34.2276|35.262
internal_node_45868	37.9982|38.7044
n39142	36.9358|37.4419
n39143	37.1693|37.7844
n39145	37.3857|37.7612
n39148	40.4357|40.7709
n39150	36.788|37.212
n39152	42.4296|42.8402
n39154	30.0705|31.6417
n39166	28.5342|29.4531
n39194	36.1924|37.8076
internal_node_46048	43.2659|44.5228
n39211	42.9841|44.5752
n39217	39.3124|39.9183
n39218	37.5999|37.945
n39219	38.3873|38.8847
n39236	43.14|44.8366
n39242	48.3723|48.7692
n39266	36.6318|37.3682
224756	37.8972|39.3054
n39284	36.8005|38.6426
2191+2194	35.0347|35.8339
n39286	37.5101|38.499
n39287	36.0772|37.9228
n39290	36.8671|37.1329
1198451	38.2048|39.2199
internal_node_46279	42.7472|43.752
n39304	33.7453|35.2234
internal_node_46293	32.8584|33.7205
n39310	31.8415|33.0178
n39314	30.0267|30.738
n39322	34.4723|35.3598
n39323	36.4946|37.5054
internal_node_46354	40.8988|42.1442
n39333	38.5485|39.8433
2206	37.3621|38.2018
n39335	31.8112|32.6425
n39336	33.5518|34.6726
n39343	36.7858|37.4257
n39345	40.5524|41.287
n39351	32.2366|33.4777
n39363	29.2673|30.4708
n39368	36.8886|37.1114
internal_node_46456	39.5928|40.7908
n39373	45.7082|47.1105
183925+2158	70.8292|72.3666
internal_node_46473	56.9696|58.1773
n39379	35.943|37.455
n39381	36.4213|37.5787
n39423	75.4234|76.8223
n39424	79.0672|80.7888
183968+2258+2259	81.908|82.8609
internal_node_46581	84.7669|85.7115
n39427	89.1355|90.1951
n39428	84.586|85.5878
n39430	84.7429|85.6713
n39432	86.0721|86.7289
n39448	85.8952|86.1549
n39449	84.9723|85.0277
n39467	82.062|82.6503
internal_node_46672	79.5782|80.4218
internal_node_46679	75.9147|76.8303
n39473	80.1295|80.9526
n39475	77.6394|78.6978
n39476	84.5705|85.4295
n39478	71.9973|73.1483
n39479	70.8499|72.804
183939+2182+196117	78.7036|79.7768
n39481	72.123|73.284
internal_node_46706	55.4383|56.3368
internal_node_46709	45.7721|46.8535
n39486	32.3433|33.4323
n39487	53.8603|54.8443
internal_node_46724	78.9598|79.5005
internal_node_46729	83.1539|83.8693
n39490	83.2821|84.0062
n39491	84.8022|85.1978
n39494	82.8267|83.8656
2283796+183967	48.5692|50.5851
2301	56.8994|58.4435
n39505	74.9403|76.9324
28889+183924	86.3424|87.4875
114380+2272	85.8726|86.8667
n39508	86.3322|87.6417
2281+118883	73.4756|74.7801
n39510	76.6685|78.1602
internal_node_46821	67.7486|69.1379
n39525	66.2601|66.8832
n39531	88.5995|89.5017
n39532	81.6672|82.9256
n39533	83.6437|84.4838
n39534	86.5442|87.4053
n39535	85.3564|86.2418
internal_node_46849	85.6961|86.5056
internal_node_46861	88.8212|89.2787
871006	77.6089|79.0194
n39541	95.5568|96.9247
internal_node_46879	96.3625|97.1351
n39543	95.8394|96.2952
n39547	84.332|85.8148
n39548	86.9748|88.4141
internal_node_46914	89.4752|90.5248
n39553	89.6216|90.3784
n39554	86.9256|88.3928
n39556	86.6623|87.9579
internal_node_46928	92.6057|93.1275
n39559	94.8167|95.2743
n39560	87.9759|88.5372
n39562	92.481|92.9741
n39569	84.7538|85.2462
1643678	36.3884|38.245
