"tip_label"	"genome_id"	"taxid"	"kingdom_taxid"	"phylum_taxid"	"class_taxid"	"order_taxid"	"family_taxid"	"genus_taxid"	"species_taxid"	"strain_taxid"
"GCA_000979495|k__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanosarcinales|f__Methanosarcinaceae|g__Methanosarcina|s__Methanosarcina_mazei"	"GCA_000979495"	"2209"	"2157"	"28890"	"224756"	"94695"	"2206"	"2207"	"2209"	NA
"GCA_001714685|k__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanosarcinales|f__Methanosarcinaceae|g__Methanosarcina|s__Methanosarcina_sp_Ant1"	"GCA_001714685"	"1882735"	"2157"	"28890"	"224756"	"94695"	"2206"	"2207"	"1882735"	NA
"GCA_000970265|k__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanosarcinales|f__Methanosarcinaceae|g__Methanosarcina|s__Methanosarcina_lacustris"	"GCA_000970265"	"1434111"	"2157"	"28890"	"224756"	"94695"	"2206"	"2207"	"170861"	"1434111"
"GCA_000007345|k__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanosarcinales|f__Methanosarcinaceae|g__Methanosarcina|s__Methanosarcina_acetivorans"	"GCA_000007345"	"188937"	"2157"	"28890"	"224756"	"94695"	"2206"	"2207"	"2214"	"188937"
"GCA_000970085|k__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanosarcinales|f__Methanosarcinaceae|g__Methanosarcina|s__Methanosarcina_siciliae"	"GCA_000970085"	"1434120"	"2157"	"28890"	"224756"	"94695"	"2206"	"2207"	"38027"	"1434120"
"GCA_000970045|k__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanosarcinales|f__Methanosarcinaceae|g__Methanosarcina|s__Methanosarcina_sp_MTP4"	"GCA_000970045"	"1434100"	"2157"	"28890"	"224756"	"94695"	"2206"	"2207"	"1434100"	NA
"GCA_000970285|k__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanosarcinales|f__Methanosarcinaceae|g__Methanosarcina|s__Methanosarcina_horonobensis"	"GCA_000970285"	"1434110"	"2157"	"28890"	"224756"	"94695"	"2206"	"2207"	"418008"	"1434110"
"GCA_000196655|k__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanosarcinales|f__Methanosarcinaceae|g__Methanohalobium|s__Methanohalobium_evestigatum"	"GCA_000196655"	"644295"	"2157"	"28890"	"224756"	"94695"	"2206"	"2321"	"2322"	"644295"
"GCA_000217995|k__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanosarcinales|f__Methanosarcinaceae|g__Methanosalsum|s__Methanosalsum_zhilinae"	"GCA_000217995"	"679901"	"2157"	"28890"	"224756"	"94695"	"2206"	"196136"	"39669"	"679901"
"GCA_000328665|k__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanosarcinales|f__Methanosarcinaceae|g__Methanomethylovorans|s__Methanomethylovorans_hollandica"	"GCA_000328665"	"867904"	"2157"	"28890"	"224756"	"94695"	"2206"	"101191"	"101192"	"867904"
"GCA_000306725|k__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanosarcinales|f__Methanosarcinaceae|g__Methanolobus|s__Methanolobus_psychrophilus"	"GCA_000306725"	"1094980"	"2157"	"28890"	"224756"	"94695"	"2206"	"2220"	"420950"	"1094980"
"GCA_001577565|k__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanosarcinales|f__Methanosarcinaceae|g__Methanolobus|s__Methanolobus_sp_T82_4"	"GCA_001577565"	"1794908"	"2157"	"28890"	"224756"	"94695"	"2206"	"2220"	"1794908"	NA
"GCA_900114835|k__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanosarcinales|f__Methanosarcinaceae|g__Methanolobus|s__Methanolobus_profundi"	"GCA_900114835"	"487685"	"2157"	"28890"	"224756"	"94695"	"2206"	"2220"	"487685"	NA
"GCA_000504205|k__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanosarcinales|f__Methanosarcinaceae|g__Methanolobus|s__Methanolobus_tindarius"	"GCA_000504205"	"1090322"	"2157"	"28890"	"224756"	"94695"	"2206"	"2220"	"2221"	"1090322"
"GCA_900100715|k__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanosarcinales|f__Methanosarcinaceae|g__Methanolobus|s__Methanolobus_vulcani"	"GCA_900100715"	"38026"	"2157"	"28890"	"224756"	"94695"	"2206"	"2220"	"38026"	NA
"GCA_000013725|k__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanosarcinales|f__Methanosarcinaceae|g__Methanococcoides|s__Methanococcoides_burtonii"	"GCA_000013725"	"259564"	"2157"	"28890"	"224756"	"94695"	"2206"	"2225"	"29291"	"259564"
"GCA_000765475|k__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanosarcinales|f__Methanosarcinaceae|g__Methanococcoides|s__Methanococcoides_methylutens"	"GCA_000765475"	"2226"	"2157"	"28890"	"224756"	"94695"	"2206"	"2225"	"2226"	NA
"GCA_900111645|k__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanosarcinales|f__Methanosarcinaceae|g__Methanococcoides|s__Methanococcoides_vulcani"	"GCA_900111645"	"1353158"	"2157"	"28890"	"224756"	"94695"	"2206"	"2225"	"1353158"	NA
"GCA_001889405|k__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanosarcinales|f__Methanosarcinaceae|g__Methanohalophilus|s__Methanohalophilus_halophilus"	"GCA_001889405"	"2177"	"2157"	"28890"	"224756"	"94695"	"2206"	"2175"	"2177"	NA
"GCA_001577555|k__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanosarcinales|f__Methanosarcinaceae|g__Methanohalophilus|s__Methanohalophilus_sp_T328_1"	"GCA_001577555"	"1794907"	"2157"	"28890"	"224756"	"94695"	"2206"	"2175"	"1794907"	NA
"GCA_900215215|k__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanosarcinales|f__Methanosarcinaceae|g__Methanohalophilus|s__Methanohalophilus_euhalobius"	"GCA_900215215"	"51203"	"2157"	"28890"	"224756"	"94695"	"2206"	"2175"	"51203"	NA
"GCA_000025865|k__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanosarcinales|f__Methanosarcinaceae|g__Methanohalophilus|s__Methanohalophilus_mahii"	"GCA_000025865"	"547558"	"2157"	"28890"	"224756"	"94695"	"2206"	"2175"	"2176"	"547558"
"GCA_002761295|k__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanosarcinales|f__Methanosarcinaceae|g__Methanohalophilus|s__Methanohalophilus_portucalensis"	"GCA_002761295"	"39664"	"2157"	"28890"	"224756"	"94695"	"2206"	"2175"	"39664"	NA
"GCA_001766815|k__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanosarcinales|f__Methanosarcinales_unclassified|g__Candidatus_Syntrophoarchaeum|s__Candidatus_Syntrophoarchaeum_caldarius"	"GCA_001766815"	"1838285"	"2157"	"28890"	"224756"	"94695"	NA	"1912923"	"1838285"	NA
"GCA_001766825|k__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanosarcinales|f__Methanosarcinales_unclassified|g__Candidatus_Syntrophoarchaeum|s__Candidatus_Syntrophoarchaeum_butanivorans"	"GCA_001766825"	"1839936"	"2157"	"28890"	"224756"	"94695"	NA	"1912923"	"1839936"	NA
"GCA_002254785|k__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanomicrobia_unclassified|f__Methanomicrobia_unclassified|g__Methanomicrobia_unclassified|s__ANME_1_cluster_archaeon_ex4572_4"	"GCA_002254785"	"2011131"	"2157"	"28890"	"224756"	"588814"	NA	NA	"2011131"	NA
"GCA_003194435|k__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanomicrobia_unclassified|f__Methanomicrobia_unclassified|g__Methanomicrobia_unclassified|s__ANME_1_cluster_archaeon"	"GCA_003194435"	"2056316"	"2157"	"28890"	"224756"	"588814"	NA	NA	"2056316"	NA
"GCA_001914405|k__Archaea|p__Euryarchaeota|c__Methanonatronarchaeia|o__Methanonatronarchaeales|f__Methanonatronarchaeaceae|g__Candidatus_Methanohalarchaeum|s__Candidatus_Methanohalarchaeum_thermophilum"	"GCA_001914405"	"1903181"	"2157"	"28890"	"171536"	"2202723"	"2202724"	"2022712"	"1903181"	NA
"GCA_003034855|k__Archaea|p__Archaea_unclassified|c__Archaea_unclassified|o__Archaea_unclassified|f__Archaea_unclassified|g__Archaea_unclassified|s__archaeon_SCG_AAA382B04"	"GCA_003034855"	"2137776"	"2157"	NA	NA	NA	NA	NA	"2137776"	NA
"GCA_000025285|k__Archaea|p__Euryarchaeota|c__Archaeoglobi|o__Archaeoglobales|f__Archaeoglobaceae|g__Archaeoglobus|s__Archaeoglobus_profundus"	"GCA_000025285"	"572546"	"2157"	"28890"	"183980"	"2231"	"2232"	"2233"	"84156"	"572546"
"GCA_000025505|k__Archaea|p__Euryarchaeota|c__Archaeoglobi|o__Archaeoglobales|f__Archaeoglobaceae|g__Ferroglobus|s__Ferroglobus_placidus"	"GCA_000025505"	"589924"	"2157"	"28890"	"183980"	"2231"	"2232"	"54260"	"54261"	"589924"
"GCA_000789255|k__Archaea|p__Euryarchaeota|c__Archaeoglobi|o__Archaeoglobales|f__Archaeoglobaceae|g__Geoglobus|s__Geoglobus_acetivorans"	"GCA_000789255"	"565033"	"2157"	"28890"	"183980"	"2231"	"2232"	"190818"	"565033"	NA
"GCA_001006045|k__Archaea|p__Euryarchaeota|c__Archaeoglobi|o__Archaeoglobales|f__Archaeoglobaceae|g__Geoglobus|s__Geoglobus_ahangari"	"GCA_001006045"	"113653"	"2157"	"28890"	"183980"	"2231"	"2232"	"190818"	"113653"	NA
"GCA_000194625|k__Archaea|p__Euryarchaeota|c__Archaeoglobi|o__Archaeoglobales|f__Archaeoglobaceae|g__Archaeoglobus|s__Archaeoglobus_veneficus"	"GCA_000194625"	"693661"	"2157"	"28890"	"183980"	"2231"	"2232"	"2233"	"58290"	"693661"
"GCA_000008665|k__Archaea|p__Euryarchaeota|c__Archaeoglobi|o__Archaeoglobales|f__Archaeoglobaceae|g__Archaeoglobus|s__Archaeoglobus_fulgidus"	"GCA_000008665"	"224325"	"2157"	"28890"	"183980"	"2231"	"2232"	"2233"	"2234"	"224325"
"GCA_000385565|k__Archaea|p__Euryarchaeota|c__Archaeoglobi|o__Archaeoglobales|f__Archaeoglobaceae|g__Archaeoglobus|s__Archaeoglobus_sulfaticallidus"	"GCA_000385565"	"387631"	"2157"	"28890"	"183980"	"2231"	"2232"	"2233"	"1316941"	"387631"
"GCA_003021085|k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Halobacteriales_unclassified|g__Halobacteriales_unclassified|s__Halobacteriales_archaeon_QS_1_68_20"	"GCA_003021085"	"1919169"	"2157"	"28890"	"183963"	"2235"	NA	NA	"1919169"	NA
