"node"	"taxid"	"n_labels"	"node_label"	"kingdom_taxid"	"phylum_taxid"	"class_taxid"	"order_taxid"	"family_taxid"	"genus_taxid"	"species_taxid"	"strain_taxid"	"Taxon_name"	"Rank"
19499	"570"	5	"53335+544+547+570+83654"	"2"	"1224"	"1236"	"91347"	"543"	"570"	NA	NA	"Klebsiella"	"genus"
19499	"83654"	5	"53335+544+547+570+83654"	"2"	"1224"	"1236"	"91347"	"543"	"83654"	NA	NA	"Leclercia"	"genus"
19505	"1330547"	1	"1330547"	"2"	"1224"	"1236"	"91347"	"543"	"1330547"	NA	NA	"Kosakonia"	"genus"
19509	"590"	1	"590"	"2"	"1224"	"1236"	"91347"	"543"	"590"	NA	NA	"Salmonella"	"genus"
19510	"28901"	1	"28901"	"2"	"1224"	"1236"	"91347"	"543"	"590"	"28901"	NA	"Salmonella enterica"	"species"
19518	"451512"	1	"451512"	"2"	"1224"	"1236"	"91347"	"543"	"451512"	NA	NA	"Mangrovibacter"	"genus"
19521	"158851"	1	"158851"	"2"	"1224"	"1236"	"91347"	"543"	"158851"	NA	NA	"Trabulsiella"	"genus"
19524	"561"	2	"561+620"	"2"	"1224"	"1236"	"91347"	"543"	"561"	NA	NA	"Escherichia"	"genus"
19524	"620"	2	"561+620"	"2"	"1224"	"1236"	"91347"	"543"	"620"	NA	NA	"Shigella"	"genus"
19537	"1903434"	1	"1903434"	"2"	"1224"	"1236"	"91347"	"543"	"1903434"	NA	NA	"Atlantibacter"	"genus"
19541	"573"	1	"573"	"2"	"1224"	"1236"	"91347"	"543"	"570"	"573"	NA	"Klebsiella pneumoniae"	"species"
19544	"1463165"	1	"1463165"	"2"	"1224"	"1236"	"91347"	"543"	"570"	"1463165"	NA	"Klebsiella quasipneumoniae"	"species"
19550	"550"	1	"550"	"2"	"1224"	"1236"	"91347"	"543"	"547"	"550"	NA	"Enterobacter cloacae"	"species"
19560	"447792"	1	"447792"	"2"	"1224"	"1236"	"91347"	"543"	"447792"	NA	NA	"Phytobacter"	"genus"
19564	"1649298"	1	"1649298"	"2"	"1224"	"1236"	"91347"	"543"	"1649298"	NA	NA	"Siccibacter"	"genus"
19567	"413496"	1	"413496"	"2"	"1224"	"1236"	"91347"	"543"	"413496"	NA	NA	"Cronobacter"	"genus"
19571	"413497"	1	"413497"	"2"	"1224"	"1236"	"91347"	"543"	"413496"	"413497"	NA	"Cronobacter dublinensis"	"species"
19575	"1649295"	1	"1649295"	"2"	"1224"	"1236"	"91347"	"543"	"1649295"	NA	NA	"Franconibacter"	"genus"
19578	"1335483"	1	"1335483"	"2"	"1224"	"1236"	"91347"	"543"	"1335483"	NA	NA	"Shimwellia"	"genus"
19581	"2100764"	2	"2100764+551"	"2"	"1224"	"1236"	"91347"	"1903409"	"2100764"	NA	NA	"Mixta"	"genus"
19581	"551"	2	"2100764+551"	"2"	"1224"	"1236"	"91347"	"1903409"	"551"	NA	NA	"Erwinia"	"genus"
19609	"1780190"	1	"1780190"	"2"	"1224"	"1236"	"91347"	"1903409"	"1780190"	NA	NA	"Izhakiella"	"genus"
19620	"158836"	1	"158836"	"2"	"1224"	"1236"	"91347"	"543"	"547"	"158836"	NA	"Enterobacter hormaechei"	"species"
19624	"1330546"	1	"1330546"	"2"	"1224"	"1236"	"91347"	"543"	"1330546"	NA	NA	"Pluralibacter"	"genus"
19637	"158483"	1	"158483"	"2"	"1224"	"1236"	"91347"	"543"	"158483"	NA	NA	"Cedecea"	"genus"
19662	"1330545"	1	"1330545"	"2"	"1224"	"1236"	"91347"	"543"	"1330545"	NA	NA	"Lelliottia"	"genus"
19664	"160674"	1	"160674"	"2"	"1224"	"1236"	"91347"	"543"	"160674"	NA	NA	"Raoultella"	"genus"
19687	"66269"	1	"66269"	"2"	"1224"	"1236"	"91347"	"1903409"	"53335"	"66269"	NA	"Pantoea stewartii"	"species"
19691	"1356488"	2	"1356488+1544694"	"2"	"1224"	"1236"	"91347"	"1903409"	"1356488"	NA	NA	"Rosenbergiella"	"genus"
19691	"1544694"	2	"1356488+1544694"	"2"	"1224"	"1236"	"91347"	"1903409"	"1356488"	"1544694"	NA	"Rosenbergiella epipactidis"	"species"
19693	"988801"	1	"988801"	"2"	"1224"	"1236"	"91347"	"1903409"	"1356488"	"988801"	NA	"Rosenbergiella nectarea"	"species"
19699	"82986"	1	"82986"	"2"	"1224"	"1236"	"91347"	"1903409"	"82986"	NA	NA	"Tatumella"	"genus"
19706	"2726810"	1	"2726810"	"2"	"1224"	"1236"	"91347"	"543"	"2726810"	NA	NA	"Scandinavium"	"genus"
19708	"82976"	1	"82976"	"2"	"1224"	"1236"	"91347"	"543"	"82976"	NA	NA	"Buttiauxella"	"genus"
19719	"1504576"	1	"1504576"	"2"	"1224"	"1236"	"91347"	"543"	"1504576"	NA	NA	"Pseudocitrobacter"	"genus"
