"node"	"taxid"	"n_labels"	"node_label"	"kingdom_taxid"	"phylum_taxid"	"class_taxid"	"order_taxid"	"family_taxid"	"genus_taxid"	"species_taxid"	"strain_taxid"
12757	"1122961"	4	"46630+46631+46632+1122961"	"2157"	"2283796"	"183967"	"2301"	"46630"	"46631"	"46632"	"1122961"
12758	"90142"	1	"90142"	"2157"	"2283796"	"183967"	"2301"	"90142"	NA	NA	NA
12759	"507753"	1	"507753"	"2157"	"2283796"	"183967"	"2301"	"90142"	"507753"	NA	NA
12760	"74968"	1	"74968"	"2157"	"2283796"	"183967"	"2301"	"90142"	"74968"	NA	NA
12763	"46659"	2	"46659+2302"	"2157"	"2283796"	"183967"	"2301"	"46659"	NA	NA	NA
12763	"2302"	2	"46659+2302"	"2157"	"2283796"	"183967"	"2301"	"46659"	"2302"	NA	NA
12773	"1705400"	3	"1705400+2666130+1705564"	"2157"	"28890"	"1705400"	NA	NA	NA	NA	NA
12773	"2666130"	3	"1705400+2666130+1705564"	"2157"	"28890"	"1705400"	NA	NA	"2666130"	NA	NA
12773	"1705564"	3	"1705400+2666130+1705564"	"2157"	"28890"	"1705400"	NA	NA	"2666130"	"1705564"	NA
12774	"1980645"	1	"1980645"	"2157"	"28890"	"1980645"	NA	NA	NA	NA	NA
12775	"183968"	4	"183968+2258+2259+2260"	"2157"	"28890"	"183968"	NA	NA	NA	NA	NA
12775	"2258"	4	"183968+2258+2259+2260"	"2157"	"28890"	"183968"	"2258"	NA	NA	NA	NA
12775	"2259"	4	"183968+2258+2259+2260"	"2157"	"28890"	"183968"	"2258"	"2259"	NA	NA	NA
12775	"2260"	4	"183968+2258+2259+2260"	"2157"	"28890"	"183968"	"2258"	"2259"	"2260"	NA	NA
12776	"2263"	1	"2263"	"2157"	"28890"	"183968"	"2258"	"2259"	"2263"	NA	NA
12810	"928852"	1	"928852"	"2157"	"928852"	NA	NA	NA	NA	NA	NA
12813	"1655434"	1	"1655434"	"2157"	"1655434"	NA	NA	NA	NA	NA	NA
12814	"1936272"	1	"1936272"	"2157"	"1936272"	NA	NA	NA	NA	NA	NA
12817	"1706441"	1	"1706441"	"2157"	"1706441"	NA	NA	NA	NA	NA	NA
12826	"28889"	1	"28889"	"2157"	"28889"	NA	NA	NA	NA	NA	NA
12832	"651137"	1	"651137"	"2157"	"651137"	NA	NA	NA	NA	NA	NA
12833	"2978049"	1	"2978049"	"2157"	"651137"	NA	NA	"2978049"	NA	NA	NA
12838	"1643678"	1	"1643678"	"2157"	"651137"	"1643678"	NA	NA	NA	NA	NA
